,t,vb,vg,qe,dcr,dt,ap,bif
215,-45.0,73.64045783861833,600.0,0.11,161.975501485187,5.995000000000958e-06,0.04676425893074362,0.013933030874305433
216,-45.0,73.37556058742557,700.0,0.11,153.02762772627452,5.960000000000953e-06,0.07012312846046909,0.010241620357987941
217,-45.0,73.13431374594462,800.0,0.11,133.93331263719165,6.170000000000985e-06,0.03566795722271886,0.011725312216619146
218,-45.0,72.93496984876083,900.0,0.11,150.64496887800243,6.175000000000987e-06,0.14654869406584956,0.014599420564492902
219,-45.0,72.69672590146422,1000.0,0.11,111.47415719808028,6.535000000001045e-06,0.018133836432750402,0.01289416378434725
220,-40.0,75.78405830525253,0.0,0.11,348.10374116493614,6.335000000001012e-06,0.23170990891844206,0.030844160349106677
221,-40.0,75.6688612230527,100.0,0.11,340.72855069396485,6.4350000000010285e-06,0.6212693404426426,0.020778083654738554
222,-40.0,75.30748339991405,200.0,0.11,275.68146693529997,6.200000000000992e-06,0.07443987860382244,0.01826121352456978
223,-40.0,75.06392483227914,300.0,0.11,319.00287902140855,6.470000000001034e-06,0.21258890756045082,0.011360650678657871
224,-40.0,74.7923043533153,400.0,0.11,271.061640176492,6.225000000000995e-06,0.16165726032607047,0.014467782413248767
225,-40.0,74.4563988323316,500.0,0.11,232.68634931559586,6.470000000001034e-06,0.0739204467473133,0.009512766495367222
226,-40.0,74.21478877648592,600.0,0.11,238.35556410065456,3.855000000000616e-06,0.14792879703955347,0.017135865749703334
227,-40.0,73.95480263800877,700.0,0.11,247.55451994029505,6.335000000001012e-06,0.19816475717739018,0.011981534713754825
228,-40.0,73.87790677111151,800.0,0.11,294.5094024868273,5.910000000000944e-06,0.2717732687653741,0.015121917125826454
229,-40.0,73.560312466353,900.0,0.11,248.94599083272203,6.130000000000979e-06,0.17806266785523725,0.011578387082286524
